Name,Lowercase,Grade,Type,Refinement 1,Refinement 2,Refinement 3,Refinement 4,Refinement 5,Base ATK 1,Substat 1,Base ATK 5,Substat 5,Base ATK 10,Substat 10,Base ATK 15,Substat 15,Base ATK 20,Substat 20,Base ATK 20+,Substat 20+,Base ATK 25,Substat 25,Base ATK 30,Substat 30,Base ATK 35,Substat 35,Base ATK 40,Substat 40,Base ATK 40+,Substat 40+,Base ATK 45,Substat 45,Base ATK 50,Substat 50,Base ATK 50+,Substat 50+,Base ATK 55,Substat 55,Base ATK 60,Substat 60,Base ATK 60+,Substat 60+,Base ATK 65,Substat 65,Base ATK 70,Substat 70,Base ATK 70+,Substat 70+,Base ATK 75,Substat 75,Base ATK 80,Substat 80,Base ATK 80+,Substat 80+,Base ATK 85,Substat 85,Base ATK 90,Substat 90,Substat
Iron Sting,iron sting,4,sword,Infusion Stinger: Dealing Elemental DMG increases all DMG by 6% for 6s. Max 2 stacks. Can occur once every 1s.,Infusion Stinger: Dealing Elemental DMG increases all DMG by 7.5% for 6s. Max 2 stacks. Can occur once every 1s.,Infusion Stinger: Dealing Elemental DMG increases all DMG by 9% for 6s. Max 2 stacks. Can occur once every 1s.,Infusion Stinger: Dealing Elemental DMG increases all DMG by 10.5% for 6s. Max 2 stacks. Can occur once every 1s.,Infusion Stinger: Dealing Elemental DMG increases all DMG by 12% for 6s. Max 2 stacks. Can occur once every 1s.,42,36.0,56,42.0,74,49.0,91,56.0,109,64.0,135,64.0,152,71.0,170,78.0,187,85.0,205,93.0,231,93.0,248,100.0,266,107.0,292,107.0,309,115.0,327,122.0,353,122.0,370,129.0,388,136.0,414,136.0,431,144.0,449,151.0,475,151.0,492,158.0,510,165.0,Elemental Mastery
Lion's Roar,lion's roar,4,sword,Bane of Fire and Thunder: Increases DMG against opponents affected by Pyro or Electro by 20%.,Bane of Fire and Thunder: Increases DMG against opponents affected by Pyro or Electro by 24%.,Bane of Fire and Thunder: Increases DMG against opponents affected by Pyro or Electro by 28%.,Bane of Fire and Thunder: Increases DMG against opponents affected by Pyro or Electro by 32%.,Bane of Fire and Thunder: Increases DMG against opponents affected by Pyro or Electro by 36%.,42,9.0,56,10.5,74,12.3,91,14.1,109,15.9,135,15.9,152,17.7,170,19.5,187,21.4,205,23.2,231,23.2,248,25.0,266,26.8,292,26.8,309,28.6,327,30.4,353,30.4,370,32.3,388,34.1,414,34.1,431,35.9,449,37.7,475,37.7,492,39.5,510,41.3,ATK%
Prototype Rancour,prototype rancour,4,sword,"Smashed Stone: On hit, Normal or Charged Attacks increase ATK and DEF by 4% for 6s. Max 4 stacks. This effect can only occur once every 0.3s.","Smashed Stone: On hit, Normal or Charged Attacks increase ATK and DEF by 5% for 6s. Max 4 stacks. This effect can only occur once every 0.3s.","Smashed Stone: On hit, Normal or Charged Attacks increase ATK and DEF by 6% for 6s. Max 4 stacks. This effect can only occur once every 0.3s.","Smashed Stone: On hit, Normal or Charged Attacks increase ATK and DEF by 7% for 6s. Max 4 stacks. This effect can only occur once every 0.3s.","Smashed Stone: On hit, Normal or Charged Attacks increase ATK and DEF by 8% for 6s. Max 4 stacks. This effect can only occur once every 0.3s.",44,7.5,59,8.7,79,10.2,99,11.7,119,13.3,144,13.3,165,14.8,185,16.3,205,17.8,226,19.3,252,19.3,273,20.8,293,22.4,319,22.4,340,23.9,361,25.4,387,25.4,408,26.9,429,28.4,455,28.4,476,29.9,497,31.5,523,31.5,544,33.0,565,34.5,Physical DMG Bonus
Royal Longsword,royal longsword,4,sword,"Focus: Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 10%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 12%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 14%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 16%. Max 5 stacks. A CRIT Hit removes all stacks.",42,9.0,56,10.5,74,12.3,91,14.1,109,15.9,135,15.9,152,17.7,170,19.5,187,21.4,205,23.2,231,23.2,248,25.0,266,26.8,292,26.8,309,28.6,327,30.4,353,30.4,370,32.3,388,34.1,414,34.1,431,35.9,449,37.7,475,37.7,492,39.5,510,41.3,ATK%
Sacrificial Sword,sacrificial sword,4,sword,"Composed: After damaging an opponent with an Elemental Skill, the skill has a 40% chance to end its own CD. Can only occur once every 30s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 50% chance to end its own CD. Can only occur once every 26s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 60% chance to end its own CD. Can only occur once every 22s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 70% chance to end its own CD. Can only occur once every 19s.","Composed: After damaging an opponent with an Elemental Skill, the skill has a 80% chance to end its own CD. Can only occur once every 16s.",41,13.3,54,15.5,69,18.2,84,20.9,99,23.6,125,23.6,140,26.3,155,28.9,169,31.6,184,34.3,210,34.3,224,37.0,238,39.7,264,39.7,278,42.4,293,45.1,319,45.1,333,47.8,347,50.5,373,50.5,387,53.2,401,55.9,427,55.9,440,58.6,454,61.3,Energy Recharge
The Alley Flash,the alley flash,4,sword,Itinerant Hero: Increases DMG dealt by the character equipping this weapon by 12%. Taking DMG disables this effect for 5s.,Itinerant Hero: Increases DMG dealt by the character equipping this weapon by 15%. Taking DMG disables this effect for 5s.,Itinerant Hero: Increases DMG dealt by the character equipping this weapon by 18%. Taking DMG disables this effect for 5s.,Itinerant Hero: Increases DMG dealt by the character equipping this weapon by 21%. Taking DMG disables this effect for 5s.,Itinerant Hero: Increases DMG dealt by the character equipping this weapon by 24%. Taking DMG disables this effect for 5s.,45,12.0,62,14.0,84,16.0,106,19.0,128,21.0,154,21.0,177,24.0,200,26.0,224,28.0,247,31.0,273,31.0,297,33.0,321,36.0,347,36.0,371,38.0,395,41.0,421,41.0,445,43.0,470,45.0,496,45.0,520,48.0,545,50.0,571,50.0,595,53.0,620,55.0,Elemental Mastery
The Black Sword,the black sword,4,sword,"Justice: Increases DMG dealt by Normal and Charged Attacks by 20%. Additionally, regenerates 60% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Justice: Increases DMG dealt by Normal and Charged Attacks by 25%. Additionally, regenerates 70% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Justice: Increases DMG dealt by Normal and Charged Attacks by 30%. Additionally, regenerates 80% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Justice: Increases DMG dealt by Normal and Charged Attacks by 35%. Additionally, regenerates 90% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.","Justice: Increases DMG dealt by Normal and Charged Attacks by 40%. Additionally, regenerates 100% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s.",42,6.0,56,7.0,74,8.2,91,9.4,109,10.6,135,10.6,152,11.8,170,13.0,187,14.2,205,15.5,231,15.5,248,16.7,266,17.9,292,17.9,309,19.1,327,20.3,353,20.3,370,21.5,388,22.7,414,22.7,431,23.9,449,25.1,475,25.1,492,26.4,510,27.6,CRIT Rate
The Flute,the flute,4,sword,"Chord: Normal or Charged Attacks grant a Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 100% ATK DMG to surrounding opponents. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Chord: Normal or Charged Attacks grant a Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 125% ATK DMG to surrounding opponents. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Chord: Normal or Charged Attacks grant a Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 150% ATK DMG to surrounding opponents. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Chord: Normal or Charged Attacks grant a Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 175% ATK DMG to surrounding opponents. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.","Chord: Normal or Charged Attacks grant a Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 200% ATK DMG to surrounding opponents. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.",42,9.0,56,10.5,74,12.3,91,14.1,109,15.9,135,15.9,152,17.7,170,19.5,187,21.4,205,23.2,231,23.2,248,25.0,266,26.8,292,26.8,309,28.6,327,30.4,353,30.4,370,32.3,388,34.1,414,34.1,431,35.9,449,37.7,475,37.7,492,39.5,510,41.3,ATK%
Sword of Descension,sword of descension,4,sword,"Descension: Effective for players on ""PlayStation Network"" only.\nHitting opponents with Normal and Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s. Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66.",Descension: ,Descension: ,Descension: ,Descension: ,39,7.7,50,8.9,65,10.4,79,12.0,94,13.5,120,13.5,134,15.1,148,16.6,162,18.2,176,19.7,202,19.7,215,21.3,229,22.8,255,22.8,269,24.4,282,25.9,308,25.9,322,27.5,335,29.0,361,29.0,374,30.5,388,32.1,414,32.1,427,33.6,440,35.2,ATK%
Festering Desire,festering desire,4,sword,Undying Admiration: Increases Elemental Skill DMG by 16% and Elemental Skill CRIT Rate by 6%.,Undying Admiration: Increases Elemental Skill DMG by 20% and Elemental Skill CRIT Rate by 7.5%.,Undying Admiration: Increases Elemental Skill DMG by 24% and Elemental Skill CRIT Rate by 9%.,Undying Admiration: Increases Elemental Skill DMG by 28% and Elemental Skill CRIT Rate by 10.5%.,Undying Admiration: Increases Elemental Skill DMG by 32% and Elemental Skill CRIT Rate by 12%.,42,10.0,56,11.6,74,13.6,91,15.7,109,17.7,135,17.7,152,19.7,170,21.7,187,23.7,205,25.8,231,25.8,248,27.8,266,29.8,292,29.8,309,31.8,327,33.8,353,33.8,370,35.9,388,37.9,414,37.9,431,39.9,449,41.9,475,41.9,492,43.9,510,45.9,Energy Recharge
Amenoma Kageuchi,amenoma kageuchi,4,sword,"Iwakura Succession: After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 6 Energy for each seed consumed.","Iwakura Succession: After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 7.5 Energy for each seed consumed.","Iwakura Succession: After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 9 Energy for each seed consumed.","Iwakura Succession: After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 10.5 Energy for each seed consumed.","Iwakura Succession: After casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 12 Energy for each seed consumed.",41,12.0,54,13.9,69,16.4,84,18.8,99,21.2,125,21.2,140,23.6,155,26.1,169,28.5,184,30.9,210,30.9,224,33.3,238,35.7,264,35.7,278,38.2,293,40.6,319,40.6,333,43.0,347,45.4,373,45.4,387,47.9,401,50.3,427,50.3,440,52.7,454,55.1,ATK%
Aquila Favonia,aquila favonia,5,sword,"Falcon's Defiance: ATK is increased by 20%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating HP equal to 100% of ATK and dealing 200% of ATK as DMG to surrounding opponents. This effect can only occur once every 15s.","Falcon's Defiance: ATK is increased by 25%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating HP equal to 115% of ATK and dealing 230% of ATK as DMG to surrounding opponents. This effect can only occur once every 15s.","Falcon's Defiance: ATK is increased by 30%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating HP equal to 130% of ATK and dealing 260% of ATK as DMG to surrounding opponents. This effect can only occur once every 15s.","Falcon's Defiance: ATK is increased by 35%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating HP equal to 145% of ATK and dealing 290% of ATK as DMG to surrounding opponents. This effect can only occur once every 15s.","Falcon's Defiance: ATK is increased by 40%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating HP equal to 160% of ATK and dealing 320% of ATK as DMG to surrounding opponents. This effect can only occur once every 15s.",48,9.0,65,10.5,87,12.3,110,14.1,133,15.9,164,15.9,188,17.7,212,19.5,236,21.4,261,23.2,292,23.2,316,25.0,341,26.8,373,26.8,398,28.6,423,30.4,455,30.4,480,32.3,506,34.1,537,34.1,563,35.9,590,37.7,621,37.7,648,39.5,674,41.3,Physical DMG Bonus
Skyward Blade,skyward blade,5,sword,"Sky-Piercing Fang: CRIT Rate increased by 4%. Gains Skypiercing Might upon using an Elemental Burst: Increases Movement SPD by 10%, increases ATK SPD by 10%, and Normal and Charged hits deal additional DMG equal to 20% of ATK. Skypiercing Might lasts for 12s.","Sky-Piercing Fang: CRIT Rate increased by 5%, Gains Skypiercing Might upon using an Elemental Burst: Increases Movement SPD by 10%, increases ATK SPD by 10%, and Normal and Charged hits deal additional DMG equal to 25% of ATK. Skypiercing Might lasts for 12s.","Sky-Piercing Fang: CRIT Rate increased by 6%. Gains Skypiercing Might upon using an Elemental Burst: Increases Movement SPD by 10%, increases ATK SPD by 10%, and Normal and Charged hits deal additional DMG equal to 30% of ATK. Skypiercing Might lasts for 12s.","Sky-Piercing Fang: CRIT Rate increased by 7%. Gains Skypiercing Might upon using an Elemental Burst: Increases Movement SPD by 10%, increases ATK SPD by 10%, and Normal and Charged hits deal additional DMG equal to 35% of ATK. Skypiercing Might lasts for 12s.","Sky-Piercing Fang: CRIT Rate increased by 8%. Gains Skypiercing Might upon using an Elemental Burst: Increases Movement SPD by 10%, increases ATK SPD by 10%, and Normal and Charged hits deal additional DMG equal to 40% of ATK. Skypiercing Might lasts for 12s.",46,12.0,62,13.9,82,16.4,102,18.8,122,21.2,153,21.2,173,23.6,194,26.1,214,28.5,235,30.9,266,30.9,287,33.3,308,35.7,340,35.7,361,38.2,382,40.6,414,40.6,435,43.0,457,45.4,488,45.4,510,47.9,532,50.3,563,50.3,586,52.7,608,55.1,Energy Recharge
Summit Shaper,summit shaper,5,sword,"Golden Majesty: Increases Shield Strength by 20%. Scoring hits on opponents increases ATK by 4% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 25%. Scoring hits on opponents increases ATK by 5% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 30%. Scoring hits on opponents increases ATK by 6% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 35%. Scoring hits on opponents increases ATK by 7% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 40%. Scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.",46,10.8,62,12.5,82,14.7,102,16.9,122,19.1,153,19.1,173,21.3,194,23.4,214,25.6,235,27.8,266,27.8,287,30.0,308,32.2,340,32.2,361,34.4,382,36.5,414,36.5,435,38.7,457,40.9,488,40.9,510,43.1,532,45.3,563,45.3,586,47.4,608,49.6,ATK%
Primordial Jade Cutter,primordial jade cutter,5,sword,"Protector's Virtue: HP increased by 20%. Additionally, provides an ATK Bonus based on 1.2% of the wielder's Max HP.","Protector's Virtue: HP increased by 25%. Additionally, provides an ATK Bonus based on 1.5% of the wielder's Max HP.","Protector's Virtue: HP increased by 30%. Additionally, provides an ATK Bonus based on 1.8% of the wielder's Max HP.","Protector's Virtue: HP increased by 35%. Additionally, provides an ATK Bonus based on 2.1% of the wielder's Max HP.","Protector's Virtue: HP increased by 40%. Additionally, provides an ATK Bonus based on 2.4% of the wielder's Max HP.",44,9.6,58,11.2,76,13.1,93,15.0,110,17.0,141,17.0,158,18.9,176,20.8,193,22.8,210,24.7,241,24.7,258,26.7,275,28.6,307,28.6,324,30.5,341,32.5,373,32.5,390,34.4,408,36.3,439,36.3,457,38.3,475,40.2,506,40.2,524,42.2,542,44.1,CRIT Rate
